text,label
"Breaking news! Aliens have landed on Earth!",1
"Government announces new economic reforms.",0
"Scientists discover a cure for aging!",1
"Local man wins lottery twice in one week!",1
"New study finds that chocolate increases lifespan.",1
"NASA confirms water on Mars.",0
"Apple releases new iPhone with mind-reading technology!",1
"Global warming is accelerating, says UN report.",0
"Politician caught in major corruption scandal.",0
"New evidence suggests that the moon landing was faked.",1
"Stock market crashes amid fears of economic downturn.",0
"Experts warn of new deadly virus outbreak.",0
"Ancient civilization ruins found under the ocean!",1
"President signs historic climate agreement.",0
"Scientists develop teleportation technology!",1
"Local school wins national robotics competition.",0
"Artificial intelligence surpasses human intelligence!",1
"New breakthrough in cancer treatment gives hope to millions.",0
"Time traveler spotted at historical event!",1
"Medical experts confirm the health benefits of daily meditation.",0
"Government plans to launch universal basic income program.",0
"Mysterious monolith appears in the middle of a desert!",1
"New diet pill allows you to lose weight without exercise!",1
"Economists predict record job growth in the next year.",0
"UFO spotted hovering over major city!",1
"Famous scientist claims to have built a working time machine!",1
"New study shows social media addiction is on the rise.",0
"Electric cars will be mandatory by 2030, government announces.",0
"Secret underground city discovered beneath New York!",1
"Experts suggest drinking more water improves mental clarity.",0
